Total duration: 53.5767s
File: /opt/conda/lib/python3.8/site-packages/torch/autograd/__init__.py
File duration: 31.3149s (58.45%)
Line #|      Hits|         Time| Time per hit|      %|Source code
    29|        61|  0.000329256|  5.39764e-06|  0.00%|    new_grads: List[_OptionalTensor] = []
    30|       122|  0.000866413|  7.10175e-06|  0.00%|    for out, grad in zip(outputs, grads):
    31|        61|  0.000478268|  7.84045e-06|  0.00%|        if isinstance(grad, torch.Tensor):
    32|         0|            0|            0|  0.00%|            if not out.shape == grad.shape:
    33|         0|            0|            0|  0.00%|                raise RuntimeError("Mismatch in shape: grad_output["
    34|         0|            0|            0|  0.00%|                                   + str(grads.index(grad)) + "] has a shape of "
    35|         0|            0|            0|  0.00%|                                   + str(grad.shape) + " and output["
    36|         0|            0|            0|  0.00%|                                   + str(outputs.index(out)) + "] has a shape of "
    37|         0|            0|            0|  0.00%|                                   + str(out.shape) + ".")
    38|         0|            0|            0|  0.00%|            if out.dtype.is_complex != grad.dtype.is_complex:
    39|         0|            0|            0|  0.00%|                raise RuntimeError("For complex Tensors, both grad_output and output"
    40|         0|            0|            0|  0.00%|                                   " are required to have the same dtype."
    41|         0|            0|            0|  0.00%|                                   " Mismatch in dtype: grad_output["
    42|         0|            0|            0|  0.00%|                                   + str(grads.index(grad)) + "] has a dtype of "
    43|         0|            0|            0|  0.00%|                                   + str(grad.dtype) + " and output["
    44|         0|            0|            0|  0.00%|                                   + str(outputs.index(out)) + "] has a dtype of "
    45|         0|            0|            0|  0.00%|                                   + str(out.dtype) + ".")
    46|         0|            0|            0|  0.00%|            new_grads.append(grad)
    47|        61|  0.000311375|   5.1045e-06|  0.00%|        elif grad is None:
    48|        61|  0.000419378|  6.87505e-06|  0.00%|            if out.requires_grad:
    49|        61|  0.000594139|  9.73999e-06|  0.00%|                if out.numel() != 1:
    50|         0|            0|            0|  0.00%|                    raise RuntimeError("grad can be implicitly created only for scalar outputs")
    51|        61|   0.00204563|  3.35349e-05|  0.00%|                new_grads.append(torch.ones_like(out, memory_format=torch.preserve_format))
    52|         0|            0|            0|  0.00%|            else:
    53|         0|            0|            0|  0.00%|                new_grads.append(None)
    54|         0|            0|            0|  0.00%|        else:
    55|         0|            0|            0|  0.00%|            raise TypeError("gradients can be either Tensors or None, but got " +
    56|         0|            0|            0|  0.00%|                            type(grad).__name__)
    57|        61|   0.00031209|  5.11623e-06|  0.00%|    return tuple(new_grads)
    58|         0|            0|            0|  0.00%|
    59|         0|            0|            0|  0.00%|
    60|        61|  0.000359058|   5.8862e-06|  0.00%|def _tensor_or_tensors_to_tuple(tensors: Optional[_TensorOrTensors], length: int) -> Tuple[_OptionalTensor, ...]:
    61|        61|  0.000273705|  4.48696e-06|  0.00%|    if tensors is None:
    62|        61|  0.000350237|  5.74159e-06|  0.00%|        return (None, ) * length
    63|         0|            0|            0|  0.00%|    if isinstance(tensors, torch.Tensor):
    64|         0|            0|            0|  0.00%|        return (tensors, )
    65|         0|            0|            0|  0.00%|    return tuple(tensors)
    66|         0|            0|            0|  0.00%|
    67|         0|            0|            0|  0.00%|
    68|        61|  0.000467777|  7.66848e-06|  0.00%|def backward(
    69|         0|            0|            0|  0.00%|    tensors: _TensorOrTensors,
    70|         0|            0|            0|  0.00%|    grad_tensors: Optional[_TensorOrTensors] = None,
    71|         0|            0|            0|  0.00%|    retain_graph: Optional[bool] = None,
    72|         0|            0|            0|  0.00%|    create_graph: bool = False,
    73|         0|            0|            0|  0.00%|    grad_variables: Optional[_TensorOrTensors] = None,
    74|         0|            0|            0|  0.00%|    inputs: Optional[_TensorOrTensors] = None,
    75|         0|            0|            0|  0.00%|) -> None:
    76|         0|            0|            0|  0.00%|    r"""Computes the sum of gradients of given tensors with respect to graph
    77|         0|            0|            0|  0.00%|    leaves.
    78|         0|            0|            0|  0.00%|
    79|         0|            0|            0|  0.00%|    The graph is differentiated using the chain rule. If any of ``tensors``
    80|         0|            0|            0|  0.00%|    are non-scalar (i.e. their data has more than one element) and require
    81|         0|            0|            0|  0.00%|    gradient, then the Jacobian-vector product would be computed, in this
    82|         0|            0|            0|  0.00%|    case the function additionally requires specifying ``grad_tensors``.
    83|         0|            0|            0|  0.00%|    It should be a sequence of matching length, that contains the "vector"
    84|         0|            0|            0|  0.00%|    in the Jacobian-vector product, usually the gradient of the differentiated
    85|         0|            0|            0|  0.00%|    function w.r.t. corresponding tensors (``None`` is an acceptable value for
    86|         0|            0|            0|  0.00%|    all tensors that don't need gradient tensors).
    87|         0|            0|            0|  0.00%|
    88|         0|            0|            0|  0.00%|    This function accumulates gradients in the leaves - you might need to zero
    89|         0|            0|            0|  0.00%|    ``.grad`` attributes or set them to ``None`` before calling it.
    90|         0|            0|            0|  0.00%|    See :ref:`Default gradient layouts<default-grad-layouts>`
    91|         0|            0|            0|  0.00%|    for details on the memory layout of accumulated gradients.
    92|         0|            0|            0|  0.00%|
    93|         0|            0|            0|  0.00%|    .. note::
    94|         0|            0|            0|  0.00%|        Using this method with ``create_graph=True`` will create a reference cycle
    95|         0|            0|            0|  0.00%|        between the parameter and its gradient which can cause a memory leak.
    96|         0|            0|            0|  0.00%|        We recommend using ``autograd.grad`` when creating the graph to avoid this.
    97|         0|            0|            0|  0.00%|        If you have to use this function, make sure to reset the ``.grad`` fields of your
    98|         0|            0|            0|  0.00%|        parameters to ``None`` after use to break the cycle and avoid the leak.
    99|         0|            0|            0|  0.00%|
   100|         0|            0|            0|  0.00%|    .. note::
   101|         0|            0|            0|  0.00%|
   102|         0|            0|            0|  0.00%|        If you run any forward ops, create ``grad_tensors``, and/or call ``backward``
   103|         0|            0|            0|  0.00%|        in a user-specified CUDA stream context, see
   104|         0|            0|            0|  0.00%|        :ref:`Stream semantics of backward passes<bwd-cuda-stream-semantics>`.
   105|         0|            0|            0|  0.00%|
   106|         0|            0|            0|  0.00%|    Args:
   107|         0|            0|            0|  0.00%|        tensors (Sequence[Tensor] or Tensor): Tensors of which the derivative will be
   108|         0|            0|            0|  0.00%|            computed.
   109|         0|            0|            0|  0.00%|        grad_tensors (Sequence[Tensor or None] or Tensor, optional): The "vector" in
   110|         0|            0|            0|  0.00%|            the Jacobian-vector product, usually gradients w.r.t. each element of
   111|         0|            0|            0|  0.00%|            corresponding tensors. None values can be specified for scalar Tensors or
   112|         0|            0|            0|  0.00%|            ones that don't require grad. If a None value would be acceptable for all
   113|         0|            0|            0|  0.00%|            grad_tensors, then this argument is optional.
   114|         0|            0|            0|  0.00%|        retain_graph (bool, optional): If ``False``, the graph used to compute the grad
   115|         0|            0|            0|  0.00%|            will be freed. Note that in nearly all cases setting this option to ``True``
   116|         0|            0|            0|  0.00%|            is not needed and often can be worked around in a much more efficient
   117|         0|            0|            0|  0.00%|            way. Defaults to the value of ``create_graph``.
   118|         0|            0|            0|  0.00%|        create_graph (bool, optional): If ``True``, graph of the derivative will
   119|         0|            0|            0|  0.00%|            be constructed, allowing to compute higher order derivative products.
   120|         0|            0|            0|  0.00%|            Defaults to ``False``.
   121|         0|            0|            0|  0.00%|        inputs (Sequence[Tensor] or Tensor, optional): Inputs w.r.t. which the gradient
   122|         0|            0|            0|  0.00%|            be will accumulated into ``.grad``. All other Tensors will be ignored. If
   123|         0|            0|            0|  0.00%|            not provided, the gradient is accumulated into all the leaf Tensors that
   124|         0|            0|            0|  0.00%|            were used to compute the attr::tensors. All the provided inputs must be leaf
   125|         0|            0|            0|  0.00%|            Tensors.
   126|         0|            0|            0|  0.00%|    """
   127|        61|  0.000376225|  6.16762e-06|  0.00%|    if grad_variables is not None:
   128|         0|            0|            0|  0.00%|        warnings.warn("'grad_variables' is deprecated. Use 'grad_tensors' instead.")
   129|         0|            0|            0|  0.00%|        if grad_tensors is None:
   130|         0|            0|            0|  0.00%|            grad_tensors = grad_variables
   131|         0|            0|            0|  0.00%|        else:
   132|         0|            0|            0|  0.00%|            raise RuntimeError("'grad_tensors' and 'grad_variables' (deprecated) "
   133|         0|            0|            0|  0.00%|                               "arguments both passed to backward(). Please only "
   134|         0|            0|            0|  0.00%|                               "use 'grad_tensors'.")
   135|        61|   0.00029397|  4.81918e-06|  0.00%|    if inputs is not None and len(inputs) == 0:
   136|         0|            0|            0|  0.00%|        raise RuntimeError("'inputs' argument to backward() cannot be empty.")
   137|         0|            0|            0|  0.00%|
   138|        61|  0.000472307|  7.74274e-06|  0.00%|    tensors = (tensors,) if isinstance(tensors, torch.Tensor) else tuple(tensors)
   139|       122|  0.000818968|  6.71285e-06|  0.00%|    inputs = (inputs,) if isinstance(inputs, torch.Tensor) else \
   140|        61|   0.00036478|  5.98001e-06|  0.00%|        tuple(inputs) if inputs is not None else tuple()
   141|         0|            0|            0|  0.00%|
   142|        61|    0.0011127|   1.8241e-05|  0.00%|    grad_tensors_ = _tensor_or_tensors_to_tuple(grad_tensors, len(tensors))
(call)|        61|     0.000983|  1.61148e-05|  0.00%|# /opt/conda/lib/python3.8/site-packages/torch/autograd/__init__.py:60 _tensor_or_tensors_to_tuple
   143|        61|   0.00109744|  1.79908e-05|  0.00%|    grad_tensors_ = _make_grads(tensors, grad_tensors_)
(call)|        61|   0.00586057|  9.60749e-05|  0.01%|# /opt/conda/lib/python3.8/site-packages/torch/autograd/__init__.py:28 _make_grads
   144|        61|  0.000311375|   5.1045e-06|  0.00%|    if retain_graph is None:
   145|        61|  0.000288248|  4.72538e-06|  0.00%|        retain_graph = create_graph
   146|         0|            0|            0|  0.00%|
   147|       122|      31.3019|     0.256573| 58.42%|    Variable._execution_engine.run_backward(
   148|        61|  0.000290871|  4.76837e-06|  0.00%|        tensors, grad_tensors_, retain_graph, create_graph, inputs,
   149|        61|  0.000298977|  4.90126e-06|  0.00%|        allow_unreachable=True, accumulate_grad=True)  # allow_unreachable flag
   150|         0|            0|            0|  0.00%|
   151|         0|            0|            0|  0.00%|
   152|         0|            0|            0|  0.00%|def grad(
   153|         0|            0|            0|  0.00%|    outputs: _TensorOrTensors,
   154|         0|            0|            0|  0.00%|    inputs: _TensorOrTensors,
   155|         0|            0|            0|  0.00%|    grad_outputs: Optional[_TensorOrTensors] = None,
   156|         0|            0|            0|  0.00%|    retain_graph: Optional[bool] = None,
   157|         0|            0|            0|  0.00%|    create_graph: bool = False,
   158|         0|            0|            0|  0.00%|    only_inputs: bool = True,
   159|         0|            0|            0|  0.00%|    allow_unused: bool = False
   160|         0|            0|            0|  0.00%|) -> Tuple[torch.Tensor, ...]:
   161|         0|            0|            0|  0.00%|    r"""Computes and returns the sum of gradients of outputs with respect to
   162|         0|            0|            0|  0.00%|    the inputs.
   163|         0|            0|            0|  0.00%|
   164|         0|            0|            0|  0.00%|    ``grad_outputs`` should be a sequence of length matching ``output``
   165|         0|            0|            0|  0.00%|    containing the "vector" in Jacobian-vector product, usually the pre-computed
   166|         0|            0|            0|  0.00%|    gradients w.r.t. each of the outputs. If an output doesn't require_grad,
   167|         0|            0|            0|  0.00%|    then the gradient can be ``None``).
   168|         0|            0|            0|  0.00%|
   169|         0|            0|            0|  0.00%|    If ``only_inputs`` is ``True``, the function will only return a list of gradients
   170|         0|            0|            0|  0.00%|    w.r.t the specified inputs. If it's ``False``, then gradient w.r.t. all remaining
   171|         0|            0|            0|  0.00%|    leaves will still be computed, and will be accumulated into their ``.grad``
   172|         0|            0|            0|  0.00%|    attribute.
   173|         0|            0|            0|  0.00%|
   174|         0|            0|            0|  0.00%|    .. note::
   175|         0|            0|            0|  0.00%|
   176|         0|            0|            0|  0.00%|        If you run any forward ops, create ``grad_outputs``, and/or call ``grad``
   177|         0|            0|            0|  0.00%|        in a user-specified CUDA stream context, see
   178|         0|            0|            0|  0.00%|        :ref:`Stream semantics of backward passes<bwd-cuda-stream-semantics>`.
   179|         0|            0|            0|  0.00%|
   180|         0|            0|            0|  0.00%|    Args:
   181|         0|            0|            0|  0.00%|        outputs (sequence of Tensor): outputs of the differentiated function.
   182|         0|            0|            0|  0.00%|        inputs (sequence of Tensor): Inputs w.r.t. which the gradient will be
   183|         0|            0|            0|  0.00%|            returned (and not accumulated into ``.grad``).
   184|         0|            0|            0|  0.00%|        grad_outputs (sequence of Tensor): The "vector" in the Jacobian-vector product.
   185|         0|            0|            0|  0.00%|            Usually gradients w.r.t. each output. None values can be specified for scalar
   186|         0|            0|            0|  0.00%|            Tensors or ones that don't require grad. If a None value would be acceptable
   187|         0|            0|            0|  0.00%|            for all grad_tensors, then this argument is optional. Default: None.
   188|         0|            0|            0|  0.00%|        retain_graph (bool, optional): If ``False``, the graph used to compute the grad
   189|         0|            0|            0|  0.00%|            will be freed. Note that in nearly all cases setting this option to ``True``
   190|         0|            0|            0|  0.00%|            is not needed and often can be worked around in a much more efficient
   191|         0|            0|            0|  0.00%|            way. Defaults to the value of ``create_graph``.
   192|         0|            0|            0|  0.00%|        create_graph (bool, optional): If ``True``, graph of the derivative will
   193|         0|            0|            0|  0.00%|            be constructed, allowing to compute higher order derivative products.
   194|         0|            0|            0|  0.00%|            Default: ``False``.
   195|         0|            0|            0|  0.00%|        allow_unused (bool, optional): If ``False``, specifying inputs that were not
   196|         0|            0|            0|  0.00%|            used when computing outputs (and therefore their grad is always zero)
   197|         0|            0|            0|  0.00%|            is an error. Defaults to ``False``.
   198|         0|            0|            0|  0.00%|    """
   199|         0|            0|            0|  0.00%|    outputs = (outputs,) if isinstance(outputs, torch.Tensor) else tuple(outputs)
   200|         0|            0|            0|  0.00%|    inputs = (inputs,) if isinstance(inputs, torch.Tensor) else tuple(inputs)
   201|         0|            0|            0|  0.00%|    overridable_args = outputs + inputs
   202|         0|            0|            0|  0.00%|    if has_torch_function(overridable_args):
   203|         0|            0|            0|  0.00%|        return handle_torch_function(
   204|         0|            0|            0|  0.00%|            grad,
   205|         0|            0|            0|  0.00%|            overridable_args,
   206|         0|            0|            0|  0.00%|            outputs,
   207|         0|            0|            0|  0.00%|            inputs,
   208|         0|            0|            0|  0.00%|            grad_outputs=grad_outputs,
   209|         0|            0|            0|  0.00%|            retain_graph=retain_graph,
   210|         0|            0|            0|  0.00%|            create_graph=create_graph,
   211|         0|            0|            0|  0.00%|            only_inputs=only_inputs,
   212|         0|            0|            0|  0.00%|            allow_unused=allow_unused,
   213|         0|            0|            0|  0.00%|        )
   214|         0|            0|            0|  0.00%|
   215|         0|            0|            0|  0.00%|    if not only_inputs:
   216|         0|            0|            0|  0.00%|        warnings.warn("only_inputs argument is deprecated and is ignored now "
   217|         0|            0|            0|  0.00%|                      "(defaults to True). To accumulate gradient for other "
   218|         0|            0|            0|  0.00%|                      "parts of the graph, please use torch.autograd.backward.")
   219|         0|            0|            0|  0.00%|
   220|         0|            0|            0|  0.00%|    grad_outputs_ = _tensor_or_tensors_to_tuple(grad_outputs, len(outputs))
   221|         0|            0|            0|  0.00%|    grad_outputs_ = _make_grads(outputs, grad_outputs_)
   222|         0|            0|            0|  0.00%|
   223|         0|            0|            0|  0.00%|    if retain_graph is None:
   224|         0|            0|            0|  0.00%|        retain_graph = create_graph
   225|         0|            0|            0|  0.00%|
   226|         0|            0|            0|  0.00%|    return Variable._execution_engine.run_backward(
   227|         0|            0|            0|  0.00%|        outputs, grad_outputs_, retain_graph, create_graph,
   228|         0|            0|            0|  0.00%|        inputs, allow_unused, accumulate_grad=False)
   229|         0|            0|            0|  0.00%|
   230|         0|            0|            0|  0.00%|
   231|         0|            0|            0|  0.00%|# This function applies in case of gradient checkpointing for memory
   232|         0|            0|            0|  0.00%|# optimization. Currently, gradient checkpointing is supported only if the
   233|         0|            0|            0|  0.00%|# execution engine is invoked through torch.autograd.backward() and its
   234|         0|            0|            0|  0.00%|# inputs argument is not passed. It is not supported for torch.autograd.grad().
   235|         0|            0|            0|  0.00%|# This is because if inputs are specified, the gradient won't be calculated for
   236|         0|            0|            0|  0.00%|# anything else e.g. model parameters like weights, bias etc.
   237|         0|            0|            0|  0.00%|#
   238|         0|            0|            0|  0.00%|# This function returns whether the checkpointing is valid i.e. torch.autograd.backward
   239|         0|            0|            0|  0.00%|# or not i.e. torch.autograd.grad. The implementation works by maintaining a thread
   240|         0|            0|            0|  0.00%|# local variable in torch/csrc/autograd/engine.cpp which looks at the NodeTask
   241|         0|            0|            0|  0.00%|# in the stack and before a NodeTask is executed in evaluate_function, it
   242|         0|            0|            0|  0.00%|# checks for whether reentrant backwards is imperative or not.
   243|         0|            0|            0|  0.00%|# See https://github.com/pytorch/pytorch/pull/4594 for more discussion/context
   244|         0|            0|            0|  0.00%|def _is_checkpoint_valid():
   245|         0|            0|            0|  0.00%|    return Variable._execution_engine.is_checkpoint_valid()
   246|         0|            0|            0|  0.00%|
   247|         0|            0|            0|  0.00%|
   248|         0|            0|            0|  0.00%|def variable(*args, **kwargs):
   249|         0|            0|            0|  0.00%|    warnings.warn("torch.autograd.variable(...) is deprecated, use torch.tensor(...) instead")
   250|         0|            0|            0|  0.00%|    return torch.tensor(*args, **kwargs)
   251|         0|            0|            0|  0.00%|
   252|         0|            0|            0|  0.00%|if not torch._C._autograd_init():
   253|         0|            0|            0|  0.00%|    raise RuntimeError("autograd initialization failed")
   254|         0|            0|            0|  0.00%|
   255|         0|            0|            0|  0.00%|# Import all native method/classes
   256|         0|            0|            0|  0.00%|from torch._C._autograd import (DeviceType, ProfilerActivity, ProfilerState, ProfilerConfig, ProfilerEvent,
   257|         0|            0|            0|  0.00%|                                _enable_profiler_legacy, _disable_profiler_legacy, _profiler_enabled,
   258|         0|            0|            0|  0.00%|                                _enable_record_function, _set_empty_test_observer, kineto_available,
   259|         0|            0|            0|  0.00%|                                _supported_kineto_activities, _add_metadata_json)
   260|         0|            0|            0|  0.00%|
   261|         0|            0|            0|  0.00%|if kineto_available():
   262|         0|            0|            0|  0.00%|    from torch._C._autograd import (_ProfilerResult, _KinetoEvent,
   263|         0|            0|            0|  0.00%|                                    _prepare_profiler, _enable_profiler, _disable_profiler)
   264|         0|            0|            0|  0.00%|
   265|         0|            0|            0|  0.00%|from . import profiler
File: /opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py
File duration: 11.4566s (21.38%)
Line #|      Hits|         Time| Time per hit|      %|Source code
------+----------+-------------+-------------+-------+-----------
     1|         0|            0|            0|  0.00%|# -*- coding: utf-8 -*-
     2|         0|            0|            0|  0.00%|import math
     3|         0|            0|            0|  0.00%|import warnings
     4|         0|            0|            0|  0.00%|
     5|         0|            0|            0|  0.00%|import torch
     6|         0|            0|            0|  0.00%|from torch import Tensor
     7|         0|            0|            0|  0.00%|from torch.nn.parameter import Parameter, UninitializedParameter
     8|         0|            0|            0|  0.00%|from .. import functional as F
     9|         0|            0|            0|  0.00%|from .. import init
    10|         0|            0|            0|  0.00%|from .lazy import LazyModuleMixin
    11|         0|            0|            0|  0.00%|from .module import Module
    12|         0|            0|            0|  0.00%|from .utils import _single, _pair, _triple, _reverse_repeat_tuple
    13|         0|            0|            0|  0.00%|from torch._torch_docs import reproducibility_notes
    14|         0|            0|            0|  0.00%|
    15|         0|            0|            0|  0.00%|from ..common_types import _size_1_t, _size_2_t, _size_3_t
    16|         0|            0|            0|  0.00%|from typing import Optional, List, Tuple, Union
    17|         0|            0|            0|  0.00%|
    18|         0|            0|            0|  0.00%|convolution_notes = \
    19|         0|            0|            0|  0.00%|    {"groups_note": r"""* :attr:`groups` controls the connections between inputs and outputs.
    20|         0|            0|            0|  0.00%|      :attr:`in_channels` and :attr:`out_channels` must both be divisible by
    21|         0|            0|            0|  0.00%|      :attr:`groups`. For example,
    22|         0|            0|            0|  0.00%|
    23|         0|            0|            0|  0.00%|        * At groups=1, all inputs are convolved to all outputs.
    24|         0|            0|            0|  0.00%|        * At groups=2, the operation becomes equivalent to having two conv
    25|         0|            0|            0|  0.00%|          layers side by side, each seeing half the input channels
    26|         0|            0|            0|  0.00%|          and producing half the output channels, and both subsequently
    27|         0|            0|            0|  0.00%|          concatenated.
    28|         0|            0|            0|  0.00%|        * At groups= :attr:`in_channels`, each input channel is convolved with
    29|         0|            0|            0|  0.00%|          its own set of filters (of size
    30|         0|            0|            0|  0.00%|          :math:`\frac{\text{out\_channels}}{\text{in\_channels}}`).""",
    31|         0|            0|            0|  0.00%|
    32|         0|            0|            0|  0.00%|        "depthwise_separable_note": r"""When `groups == in_channels` and `out_channels == K * in_channels`,
    33|         0|            0|            0|  0.00%|        where `K` is a positive integer, this operation is also known as a "depthwise convolution".
    34|         0|            0|            0|  0.00%|
    35|         0|            0|            0|  0.00%|        In other words, for an input of size :math:`(N, C_{in}, L_{in})`,
    36|         0|            0|            0|  0.00%|        a depthwise convolution with a depthwise multiplier `K` can be performed with the arguments
    37|         0|            0|            0|  0.00%|        :math:`(C_\text{in}=C_\text{in}, C_\text{out}=C_\text{in} \times \text{K}, ..., \text{groups}=C_\text{in})`."""}  # noqa: B950
    38|         0|            0|            0|  0.00%|
    39|         0|            0|            0|  0.00%|
    40|         0|            0|            0|  0.00%|
    41|         0|            0|            0|  0.00%|
    42|         0|            0|            0|  0.00%|
    43|         0|            0|            0|  0.00%|class _ConvNd(Module):
    44|         0|            0|            0|  0.00%|
    45|         0|            0|            0|  0.00%|    __constants__ = ['stride', 'padding', 'dilation', 'groups',
    46|         0|            0|            0|  0.00%|                     'padding_mode', 'output_padding', 'in_channels',
    47|         0|            0|            0|  0.00%|                     'out_channels', 'kernel_size']
    48|         0|            0|            0|  0.00%|    __annotations__ = {'bias': Optional[torch.Tensor]}
    49|         0|            0|            0|  0.00%|
    50|         0|            0|            0|  0.00%|    def _conv_forward(self, input: Tensor, weight: Tensor, bias: Optional[Tensor]) -> Tensor:
    51|         0|            0|            0|  0.00%|        ...
    52|         0|            0|            0|  0.00%|
    53|         0|            0|            0|  0.00%|    _in_channels: int
    54|         0|            0|            0|  0.00%|    _reversed_padding_repeated_twice: List[int]
    55|         0|            0|            0|  0.00%|    out_channels: int
    56|         0|            0|            0|  0.00%|    kernel_size: Tuple[int, ...]
    57|         0|            0|            0|  0.00%|    stride: Tuple[int, ...]
    58|         0|            0|            0|  0.00%|    padding: Union[str, Tuple[int, ...]]
    59|         0|            0|            0|  0.00%|    dilation: Tuple[int, ...]
    60|         0|            0|            0|  0.00%|    transposed: bool
    61|         0|            0|            0|  0.00%|    output_padding: Tuple[int, ...]
    62|         0|            0|            0|  0.00%|    groups: int
    63|         0|            0|            0|  0.00%|    padding_mode: str
    64|         0|            0|            0|  0.00%|    weight: Tensor
    65|         0|            0|            0|  0.00%|    bias: Optional[Tensor]
    66|         0|            0|            0|  0.00%|
    67|         0|            0|            0|  0.00%|    def __init__(self,
    68|         0|            0|            0|  0.00%|                 in_channels: int,
    69|         0|            0|            0|  0.00%|                 out_channels: int,
    70|         0|            0|            0|  0.00%|                 kernel_size: Tuple[int, ...],
    71|         0|            0|            0|  0.00%|                 stride: Tuple[int, ...],
    72|         0|            0|            0|  0.00%|                 padding: Tuple[int, ...],
    73|         0|            0|            0|  0.00%|                 dilation: Tuple[int, ...],
    74|         0|            0|            0|  0.00%|                 transposed: bool,
    75|         0|            0|            0|  0.00%|                 output_padding: Tuple[int, ...],
    76|         0|            0|            0|  0.00%|                 groups: int,
    77|         0|            0|            0|  0.00%|                 bias: bool,
    78|         0|            0|            0|  0.00%|                 padding_mode: str,
    79|         0|            0|            0|  0.00%|                 device=None,
    80|         0|            0|            0|  0.00%|                 dtype=None) -> None:
    81|         0|            0|            0|  0.00%|        factory_kwargs = {'device': device, 'dtype': dtype}
    82|         0|            0|            0|  0.00%|        super(_ConvNd, self).__init__()
    83|         0|            0|            0|  0.00%|        if in_channels % groups != 0:
    84|         0|            0|            0|  0.00%|            raise ValueError('in_channels must be divisible by groups')
    85|         0|            0|            0|  0.00%|        if out_channels % groups != 0:
    86|         0|            0|            0|  0.00%|            raise ValueError('out_channels must be divisible by groups')
    87|         0|            0|            0|  0.00%|        valid_padding_strings = {'same', 'valid'}
    88|         0|            0|            0|  0.00%|        if isinstance(padding, str):
    89|         0|            0|            0|  0.00%|            if padding not in valid_padding_strings:
    90|         0|            0|            0|  0.00%|                raise ValueError(
    91|         0|            0|            0|  0.00%|                    "Invalid padding string {!r}, should be one of {}".format(
    92|         0|            0|            0|  0.00%|                        padding, valid_padding_strings))
    93|         0|            0|            0|  0.00%|            if padding == 'same' and any(s != 1 for s in stride):
    94|         0|            0|            0|  0.00%|                raise ValueError("padding='same' is not supported for strided convolutions")
    95|         0|            0|            0|  0.00%|
    96|         0|            0|            0|  0.00%|        valid_padding_modes = {'zeros', 'reflect', 'replicate', 'circular'}
    97|         0|            0|            0|  0.00%|        if padding_mode not in valid_padding_modes:
    98|         0|            0|            0|  0.00%|            raise ValueError("padding_mode must be one of {}, but got padding_mode='{}'".format(
    99|         0|            0|            0|  0.00%|                valid_padding_modes, padding_mode))
   100|         0|            0|            0|  0.00%|        self.in_channels = in_channels
   101|         0|            0|            0|  0.00%|        self.out_channels = out_channels
   102|         0|            0|            0|  0.00%|        self.kernel_size = kernel_size
   103|         0|            0|            0|  0.00%|        self.stride = stride
   104|         0|            0|            0|  0.00%|        self.padding = padding
   105|         0|            0|            0|  0.00%|        self.dilation = dilation
   106|         0|            0|            0|  0.00%|        self.transposed = transposed
   107|         0|            0|            0|  0.00%|        self.output_padding = output_padding
   108|         0|            0|            0|  0.00%|        self.groups = groups
   109|         0|            0|            0|  0.00%|        self.padding_mode = padding_mode
   110|         0|            0|            0|  0.00%|        # `_reversed_padding_repeated_twice` is the padding to be passed to
   111|         0|            0|            0|  0.00%|        # `F.pad` if needed (e.g., for non-zero padding types that are
