ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
400,0.000,0.000,0.000,0.000,{method 'ljust' of 'bytes' objects}
1,0.000,0.000,0.000,0.000,{method 'startswith' of 'bytes' objects}
800,0.001,0.000,0.001,0.000,{method 'translate' of 'bytes' objects}
2000,0.002,0.000,0.002,0.000,{built-in method torch._C._get_cudnn_enabled}
44256,0.039,0.000,0.039,0.000,{built-in method torch._C._has_torch_function_unary}
200,0.000,0.000,0.000,0.000,{built-in method torch._C._has_torch_function_variadic}
2,0.000,0.000,0.000,0.000,{built-in method torch._C._set_worker_pids}
2,0.000,0.000,0.000,0.000,{built-in method torch._C._remove_worker_pids}
5,0.000,0.000,0.000,0.000,{built-in method torch._C._error_if_any_worker_fails}
1054,0.001,0.000,0.001,0.000,{built-in method torch._C._set_grad_enabled}
1381,0.002,0.000,0.002,0.000,{built-in method torch._C.is_grad_enabled}
122,0.016,0.000,0.016,0.000,{method 'copy_' of 'torch._C._TensorBase' objects}
2003,0.004,0.000,0.004,0.000,{method 'dim' of 'torch._C._TensorBase' objects}
2,0.001,0.000,0.001,0.000,{method 'double' of 'torch._C._TensorBase' objects}
107,0.001,0.000,0.001,0.000,{method 'item' of 'torch._C._TensorBase' objects}
244,0.002,0.000,0.002,0.000,{method 'new' of 'torch._C._TensorBase' objects}
61,0.000,0.000,0.000,0.000,{method 'numel' of 'torch._C._TensorBase' objects}
6138,0.012,0.000,0.012,0.000,{method 'requires_grad_' of 'torch._C._TensorBase' objects}
444,0.006,0.000,0.006,0.000,{method 'set_' of 'torch._C._TensorBase' objects}
1664,0.006,0.000,0.006,0.000,{method 'size' of 'torch._C._TensorBase' objects}
244,0.000,0.000,0.000,0.000,{method 'storage' of 'torch._C._TensorBase' objects}
244,0.000,0.000,0.000,0.000,{method 'storage_offset' of 'torch._C._TensorBase' objects}
244,0.000,0.000,0.000,0.000,{method 'stride' of 'torch._C._TensorBase' objects}
200,0.002,0.000,0.002,0.000,{method 'to' of 'torch._C._TensorBase' objects}
2,0.000,0.000,0.000,0.000,{method 'tolist' of 'torch._C._TensorBase' objects}
7502,0.381,0.000,0.381,0.000,{method 'add_' of 'torch._C._TensorBase' objects}
306,0.002,0.000,0.002,0.000,{method 'detach' of 'torch._C._TensorBase' objects}
3720,0.197,0.000,0.197,0.000,{method 'mul_' of 'torch._C._TensorBase' objects}
4,0.000,0.000,0.000,0.000,{method 'random_' of 'torch._C._TensorBase' objects}
6138,0.274,0.000,0.274,0.000,{method 'zero_' of 'torch._C._TensorBase' objects}
7700,0.024,0.000,0.024,0.000,{built-in method torch._C._get_tracing_state}
204,0.078,0.000,0.078,0.000,{method 'copy_' of 'torch._C.FloatStorageBase' objects}
204,0.000,0.000,0.000,0.000,{method 'size' of 'torch._C.FloatStorageBase' objects}
100,0.011,0.000,0.011,0.000,{built-in method _new_shared_fd}
100,0.000,0.000,0.000,0.000,{method '_weak_ref' of 'torch._C.FloatStorageBase' objects}
124,0.001,0.000,0.001,0.000,{built-in method _free_weak_ref}
129,0.000,0.000,0.000,0.000,{built-in method _expired}
40,0.000,0.000,0.000,0.000,{method 'copy_' of 'torch._C.LongStorageBase' objects}
40,0.000,0.000,0.000,0.000,{method 'size' of 'torch._C.LongStorageBase' objects}
100,0.000,0.000,0.000,0.000,{method '_weak_ref' of 'torch._C.LongStorageBase' objects}
263,0.009,0.000,0.009,0.000,{built-in method torch._ops.profiler._record_function_enter}
263,0.006,0.000,0.006,0.000,{built-in method torch._ops.profiler._record_function_exit}
10,0.003,0.000,0.051,0.005,/opt/conda/lib/python3.8/multiprocessing/queues.py:36(__init__)
10,0.002,0.000,0.003,0.000,/opt/conda/lib/python3.8/multiprocessing/queues.py:67(_after_fork)
108,0.007,0.000,0.035,0.000,/opt/conda/lib/python3.8/multiprocessing/queues.py:80(put)
100,0.011,0.000,1.243,0.012,/opt/conda/lib/python3.8/multiprocessing/queues.py:92(get)
8,0.000,0.000,0.003,0.000,/opt/conda/lib/python3.8/multiprocessing/queues.py:134(close)
16,0.001,0.000,0.001,0.000,/opt/conda/lib/python3.8/multiprocessing/queues.py:150(cancel_join_thread)
8,0.002,0.000,0.013,0.002,/opt/conda/lib/python3.8/multiprocessing/queues.py:158(_start_thread)
8,0.000,0.000,0.001,0.000,/opt/conda/lib/python3.8/multiprocessing/queues.py:200(_finalize_close)
40,0.010,0.000,0.048,0.001,/opt/conda/lib/python3.8/multiprocessing/synchronize.py:50(__init__)
40,0.001,0.000,0.001,0.000,/opt/conda/lib/python3.8/multiprocessing/synchronize.py:90(_make_methods)
8,0.003,0.000,1.015,0.127,/opt/conda/lib/python3.8/multiprocessing/popen_fork.py:66(_launch)
10,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/multiprocessing/synchronize.py:94(__enter__)
10,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/multiprocessing/synchronize.py:97(__exit__)
40,0.002,0.000,0.031,0.001,/opt/conda/lib/python3.8/multiprocessing/synchronize.py:114(_make_name)
8,0.000,0.000,0.008,0.001,/opt/conda/lib/python3.8/multiprocessing/synchronize.py:125(__init__)
10,0.000,0.000,0.011,0.001,/opt/conda/lib/python3.8/multiprocessing/synchronize.py:144(__init__)
22,0.001,0.000,0.030,0.001,/opt/conda/lib/python3.8/multiprocessing/synchronize.py:161(__init__)
8,0.001,0.000,1.017,0.127,/opt/conda/lib/python3.8/multiprocessing/popen_fork.py:15(__init__)
2,0.000,0.000,0.007,0.003,/opt/conda/lib/python3.8/multiprocessing/synchronize.py:212(__init__)
10,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/multiprocessing/synchronize.py:229(__enter__)
10,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/multiprocessing/synchronize.py:232(__exit__)
2,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/multiprocessing/synchronize.py:235(_make_methods)
2,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/multiprocessing/synchronize.py:270(notify)
2,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/multiprocessing/synchronize.py:296(notify_all)
8,0.001,0.000,0.126,0.016,/opt/conda/lib/python3.8/multiprocessing/popen_fork.py:40(wait)
2,0.000,0.000,0.012,0.006,/opt/conda/lib/python3.8/multiprocessing/synchronize.py:323(__init__)
8,0.000,0.000,0.001,0.000,/opt/conda/lib/python3.8/multiprocessing/synchronize.py:327(is_set)
2,0.000,0.000,0.001,0.000,/opt/conda/lib/python3.8/multiprocessing/synchronize.py:334(set)
28,0.001,0.000,0.001,0.000,/opt/conda/lib/python3.8/multiprocessing/popen_fork.py:24(poll)
2,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/torchvision/datasets/folder.py:240(__len__)
800,0.226,0.000,13.782,0.017,/opt/conda/lib/python3.8/site-packages/torchvision/models/resnet.py:67(forward)
100,0.031,0.000,16.123,0.161,/opt/conda/lib/python3.8/site-packages/torchvision/models/resnet.py:230(_forward_impl)
100,0.002,0.000,16.126,0.161,/opt/conda/lib/python3.8/site-packages/torchvision/models/resnet.py:248(forward)
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/pprofile/__init__.py:842(_enable)
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/pprofile/__init__.py:850(enable)
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/pprofile/__init__.py:860(_disable)
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/pprofile/__init__.py:869(disable)
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/pprofile/__init__.py:879(__enter__)
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/pprofile/__init__.py:886(__exit__)
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/pprofile/__init__.py:346(_initStack)
100,0.004,0.000,1.247,0.012,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:977(_try_get_data)
100,0.005,0.000,1.252,0.013,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:1123(_get_data)
102,0.010,0.000,1.440,0.014,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:1156(_next_data)
116,0.009,0.000,0.061,0.001,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:1205(_try_put_index)
100,0.004,0.000,0.042,0.000,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:1225(_process_data)
8,0.000,0.000,0.003,0.000,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:1232(_mark_worker_as_unavailable)
4,0.001,0.000,0.136,0.034,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:1258(_shutdown_workers)
2,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:1327(__del__)
5/4,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/torch/utils/data/_utils/signal_handling.py:63(handler)
2,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/torch/utils/data/_utils/signal_handling.py:47(_set_SIGCHLD_handler)
399,0.004,0.000,0.005,0.000,/opt/conda/lib/python3.8/site-packages/torch/utils/data/sampler.py:112(__iter__)
104,0.010,0.000,0.016,0.000,/opt/conda/lib/python3.8/site-packages/torch/utils/data/sampler.py:224(__iter__)
2,0.000,0.000,1.120,0.560,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:300(_get_iterator)
2,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:307(multiprocessing_context)
2,0.000,0.000,1.120,0.560,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:346(__iter__)
4,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:361(_auto_collation)
2,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:365(_index_sampler)
2,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:406(check_worker_number_rationality)
2,0.000,0.000,0.001,0.000,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:485(__init__)
2,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:506(_reset)
116,0.002,0.000,0.018,0.000,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:511(_next_index)
102,0.009,0.000,1.466,0.014,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:517(__next__)
10,0.000,0.000,0.001,0.000,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:941(<genexpr>)
2,0.005,0.002,1.120,0.560,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:877(__init__)
2,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:962(<listcomp>)
2,0.001,0.000,0.023,0.012,/opt/conda/lib/python3.8/site-packages/torch/utils/data/dataloader.py:946(_reset)
200,0.004,0.000,0.005,0.000,/opt/conda/lib/python3.8/site-packages/torch/multiprocessing/reductions.py:26(__init__)
129,0.002,0.000,0.002,0.000,/opt/conda/lib/python3.8/site-packages/torch/multiprocessing/reductions.py:32(expired)
124,0.002,0.000,0.002,0.000,/opt/conda/lib/python3.8/site-packages/torch/multiprocessing/reductions.py:35(__del__)
200,0.004,0.000,0.004,0.000,/opt/conda/lib/python3.8/site-packages/torch/multiprocessing/reductions.py:55(get)
200,0.005,0.000,0.013,0.000,/opt/conda/lib/python3.8/site-packages/torch/multiprocessing/reductions.py:59(__setitem__)
1,0.003,0.003,0.007,0.007,/opt/conda/lib/python3.8/site-packages/torch/multiprocessing/reductions.py:65(free_dead_references)
200,0.009,0.000,0.023,0.000,/opt/conda/lib/python3.8/site-packages/torch/multiprocessing/reductions.py:88(rebuild_tensor)
400,0.008,0.000,0.010,0.000,/opt/conda/lib/python3.8/site-packages/torch/multiprocessing/reductions.py:273(fd_id)
200,0.005,0.000,0.009,0.000,/opt/conda/lib/python3.8/site-packages/torch/multiprocessing/reductions.py:281(storage_from_cache)
200,0.020,0.000,0.799,0.004,/opt/conda/lib/python3.8/site-packages/torch/multiprocessing/reductions.py:288(rebuild_storage_fd)
16,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/multiprocessing/util.py:44(sub_debug)
98,0.001,0.000,0.001,0.000,/opt/conda/lib/python3.8/multiprocessing/util.py:48(debug)
50,0.001,0.000,0.006,0.000,/opt/conda/lib/python3.8/multiprocessing/util.py:171(register_after_fork)
16,0.002,0.000,0.003,0.000,/opt/conda/lib/python3.8/multiprocessing/util.py:186(__init__)
16,0.001,0.000,0.003,0.000,/opt/conda/lib/python3.8/multiprocessing/util.py:205(__call__)
8,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/multiprocessing/util.py:433(_flush_std_streams)
8,0.000,0.000,0.001,0.000,/opt/conda/lib/python3.8/multiprocessing/util.py:461(close_fds)
200,0.009,0.000,0.692,0.003,/opt/conda/lib/python3.8/multiprocessing/resource_sharer.py:55(detach)
200,0.015,0.000,0.599,0.003,/opt/conda/lib/python3.8/multiprocessing/resource_sharer.py:82(get_connection)
200,0.003,0.000,0.003,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:83(_validate_family)
400,0.010,0.000,0.011,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:95(address_type)
220,0.008,0.000,0.008,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:117(__init__)
215,0.003,0.000,0.003,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:130(__del__)
1900,0.022,0.000,0.022,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:134(_check_closed)
800,0.009,0.000,0.009,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:138(_check_readable)
800,0.009,0.000,0.009,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:142(_check_writable)
300,0.006,0.000,0.009,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:168(fileno)
208,0.006,0.000,0.012,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:173(close)
600,0.043,0.000,0.111,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:181(send_bytes)
200,0.009,0.000,0.049,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:202(send)
700,0.035,0.000,0.194,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:208(recv_bytes)
100,0.004,0.000,0.369,0.004,/opt/conda/lib/python3.8/multiprocessing/connection.py:253(poll)
200,0.002,0.000,0.002,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:259(__enter__)
200,0.004,0.000,0.015,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:262(__exit__)
212,0.003,0.000,0.006,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:360(_close)
800,0.027,0.000,0.037,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:365(_send)
1400,0.087,0.000,0.110,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:374(_recv)
800,0.032,0.000,0.071,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:390(_send_bytes)
700,0.031,0.000,0.143,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:413(_recv_bytes)
100,0.003,0.000,0.362,0.004,/opt/conda/lib/python3.8/multiprocessing/connection.py:423(_poll)
200,0.017,0.000,0.525,0.003,/opt/conda/lib/python3.8/multiprocessing/connection.py:493(Client)
10,0.001,0.000,0.002,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:516(Pipe)
200,0.016,0.000,0.058,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:623(SocketClient)
200,0.017,0.000,0.203,0.001,/opt/conda/lib/python3.8/multiprocessing/connection.py:732(deliver_challenge)
200,0.019,0.000,0.237,0.001,/opt/conda/lib/python3.8/multiprocessing/connection.py:747(answer_challenge)
108,0.002,0.000,0.002,0.000,/opt/conda/lib/python3.8/multiprocessing/connection.py:933(<listcomp>)
108,0.012,0.000,0.484,0.004,/opt/conda/lib/python3.8/multiprocessing/connection.py:917(wait)
61,0.225,0.004,0.808,0.013,/opt/conda/lib/python3.8/site-packages/torch/optim/_functional.py:146(sgd)
61,0.006,0.000,1.456,0.024,/opt/conda/lib/python3.8/site-packages/torch/optim/optimizer.py:83(wrapper)
100,0.325,0.003,1.257,0.013,/opt/conda/lib/python3.8/site-packages/torch/optim/optimizer.py:188(zero_grad)
61,0.277,0.005,1.422,0.023,/opt/conda/lib/python3.8/site-packages/torch/optim/sgd.py:76(step)
61,0.004,0.000,1.460,0.024,/opt/conda/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:60(wrapper)
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:105(print_lr)
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:139(__init__)
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:142(__enter__)
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:146(__exit__)
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:137(_enable_get_lr_call)
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:166(<listcomp>)
1,0.000,0.000,0.001,0.001,/opt/conda/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:117(step)
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:373(<listcomp>)
1,0.000,0.000,0.000,0.000,/opt/conda/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:367(get_lr)
2000,0.027,0.000,0.030,0.000,/opt/conda/lib/python3.8/site-packages/torch/backends/__init__.py:31(__get__)
100,0.005,0.000,0.711,0.007,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/pooling.py:161(forward)
20,0.001,0.000,0.062,0.003,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/batchnorm.py:87(_load_from_state_dict)
2000,0.372,0.000,2.430,0.001,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/batchnorm.py:133(forward)
2000,0.031,0.000,0.035,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/batchnorm.py:405(_check_input_dim)
100,0.003,0.000,0.024,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/pooling.py:1131(forward)
700,0.011,0.000,0.013,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:129(__iter__)
700/400,0.045,0.000,13.867,0.035,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/container.py:137(forward)
100,0.005,0.000,0.026,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/loss.py:1119(forward)
100,0.002,0.000,0.002,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/utils.py:34(<listcomp>)
100,0.005,0.000,0.007,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/utils.py:29(_list_with_default)
2000,0.084,0.000,11.382,0.006,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:434(_conv_forward)
2000,0.071,0.000,11.561,0.006,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/conv.py:442(forward)
1700,0.036,0.000,0.230,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/modules/activation.py:101(forward)
427,0.012,0.000,0.017,0.000,/opt/conda/lib/python3.8/site-packages/torch/autograd/grad_mode.py:119(__init__)
427,0.010,0.000,0.020,0.000,/opt/conda/lib/python3.8/site-packages/torch/autograd/grad_mode.py:124(__enter__)
427,0.008,0.000,0.018,0.000,/opt/conda/lib/python3.8/site-packages/torch/autograd/grad_mode.py:128(__exit__)
954,0.019,0.000,0.021,0.000,/opt/conda/lib/python3.8/site-packages/torch/autograd/grad_mode.py:213(__init__)
100,0.001,0.000,0.001,0.000,/opt/conda/lib/python3.8/site-packages/torch/autograd/grad_mode.py:217(__enter__)
100,0.002,0.000,0.002,0.000,/opt/conda/lib/python3.8/site-packages/torch/autograd/grad_mode.py:220(__exit__)
263,0.008,0.000,0.020,0.000,/opt/conda/lib/python3.8/site-packages/torch/autograd/profiler.py:605(__init__)
263,0.008,0.000,0.017,0.000,/opt/conda/lib/python3.8/site-packages/torch/autograd/profiler.py:613(__enter__)
263,0.007,0.000,0.014,0.000,/opt/conda/lib/python3.8/site-packages/torch/autograd/profiler.py:617(__exit__)
61,0.004,0.000,0.006,0.000,/opt/conda/lib/python3.8/site-packages/torch/autograd/__init__.py:28(_make_grads)
61,0.001,0.000,0.001,0.000,/opt/conda/lib/python3.8/site-packages/torch/autograd/__init__.py:60(_tensor_or_tensors_to_tuple)
61,0.010,0.000,31.318,0.513,/opt/conda/lib/python3.8/site-packages/torch/autograd/__init__.py:68(backward)
61,0.006,0.000,1.438,0.024,/opt/conda/lib/python3.8/site-packages/torch/autograd/grad_mode.py:25(decorate_context)
100,0.003,0.000,0.003,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/_reduction.py:7(get_enum)
671,0.008,0.000,0.008,0.000,/opt/conda/lib/python3.8/site-packages/torch/_jit_internal.py:881(is_scripting)
122,0.002,0.000,0.002,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/parameter.py:129(is_lazy)
108,0.002,0.000,0.002,0.000,<string>:1(__new__)
100,0.005,0.000,0.701,0.007,/opt/conda/lib/python3.8/site-packages/torch/nn/functional.py:696(_max_pool2d)
100,0.005,0.000,0.022,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/functional.py:1116(adaptive_avg_pool2d)
1700,0.062,0.000,0.195,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/functional.py:1287(relu)
100,0.003,0.000,0.012,0.000,/opt/conda/lib/python3.8/site-packages/torch/nn/functional.py:1831(linear)
